exported_image,exported_label,split,original_stem_with_rf,original_image,original_path
train__00K0JDN3UUTLVAMWUFF0FXT20L7M8H_jpg.jpg,train__00K0JDN3UUTLVAMWUFF0FXT20L7M8H_jpg.txt,train,00K0JDN3UUTLVAMWUFF0FXT20L7M8H_jpg.rf.bebdf9068e1add4357a7a41be2603fb7,00K0JDN3UUTLVAMWUFF0FXT20L7M8H_jpg.rf.bebdf9068e1add4357a7a41be2603fb7.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/00K0JDN3UUTLVAMWUFF0FXT20L7M8H_jpg.rf.bebdf9068e1add4357a7a41be2603fb7.jpg
train__01008e1fc52a5f36_jpg.jpg,train__01008e1fc52a5f36_jpg.txt,train,01008e1fc52a5f36_jpg.rf.7005c338975fd336494b97450e51af08,01008e1fc52a5f36_jpg.rf.7005c338975fd336494b97450e51af08.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/01008e1fc52a5f36_jpg.rf.7005c338975fd336494b97450e51af08.jpg
train__011_jpg.jpg,train__011_jpg.txt,train,011_jpg.rf.6d2ec5f00c17d205f2aded050823d83a,011_jpg.rf.6d2ec5f00c17d205f2aded050823d83a.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/011_jpg.rf.6d2ec5f00c17d205f2aded050823d83a.jpg
train__013a0328-231_jpeg_jpg.jpg,train__013a0328-231_jpeg_jpg.txt,train,013a0328-231_jpeg_jpg.rf.af83fc5546af1c5f3b3b52e269575b20,013a0328-231_jpeg_jpg.rf.af83fc5546af1c5f3b3b52e269575b20.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/013a0328-231_jpeg_jpg.rf.af83fc5546af1c5f3b3b52e269575b20.jpg
train__01d0ba02a5b97d5c_jpg.jpg,train__01d0ba02a5b97d5c_jpg.txt,train,01d0ba02a5b97d5c_jpg.rf.dff234ae104da51e8fbca98ba59ec895,01d0ba02a5b97d5c_jpg.rf.dff234ae104da51e8fbca98ba59ec895.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/01d0ba02a5b97d5c_jpg.rf.dff234ae104da51e8fbca98ba59ec895.jpg
train__0275ceffe6052be8_jpg.jpg,train__0275ceffe6052be8_jpg.txt,train,0275ceffe6052be8_jpg.rf.72fb73857fc44540db6d288da3edc1b5,0275ceffe6052be8_jpg.rf.72fb73857fc44540db6d288da3edc1b5.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/0275ceffe6052be8_jpg.rf.72fb73857fc44540db6d288da3edc1b5.jpg
train__078_jpg.jpg,train__078_jpg.txt,train,078_jpg.rf.577d2494e4ea74f949d72fab3561eeae,078_jpg.rf.577d2494e4ea74f949d72fab3561eeae.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/078_jpg.rf.577d2494e4ea74f949d72fab3561eeae.jpg
train__09b3652a186f165d_jpg.jpg,train__09b3652a186f165d_jpg.txt,train,09b3652a186f165d_jpg.rf.b5e651e172326bd6caca121958a8019d,09b3652a186f165d_jpg.rf.b5e651e172326bd6caca121958a8019d.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/09b3652a186f165d_jpg.rf.b5e651e172326bd6caca121958a8019d.jpg
train__0DCPZRIVWG8GNN2NTGAQS5GCCGJ4GX_jpg.jpg,train__0DCPZRIVWG8GNN2NTGAQS5GCCGJ4GX_jpg.txt,train,0DCPZRIVWG8GNN2NTGAQS5GCCGJ4GX_jpg.rf.35c40dc7b98281f7861475378e087642,0DCPZRIVWG8GNN2NTGAQS5GCCGJ4GX_jpg.rf.35c40dc7b98281f7861475378e087642.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/0DCPZRIVWG8GNN2NTGAQS5GCCGJ4GX_jpg.rf.35c40dc7b98281f7861475378e087642.jpg
train__0da4ef06330b5debed6ed8110dee1f17_jpg.jpg,train__0da4ef06330b5debed6ed8110dee1f17_jpg.txt,train,0da4ef06330b5debed6ed8110dee1f17_jpg.rf.2446ee4cad521afa6c13488d00280afc,0da4ef06330b5debed6ed8110dee1f17_jpg.rf.2446ee4cad521afa6c13488d00280afc.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/0da4ef06330b5debed6ed8110dee1f17_jpg.rf.2446ee4cad521afa6c13488d00280afc.jpg
train__1-109-_jpg.jpg,train__1-109-_jpg.txt,train,1-109-_jpg.rf.1aa8d171067286c8f6e4f10527bb0be5,1-109-_jpg.rf.1aa8d171067286c8f6e4f10527bb0be5.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1-109-_jpg.rf.1aa8d171067286c8f6e4f10527bb0be5.jpg
train__1-110-_jpg.jpg,train__1-110-_jpg.txt,train,1-110-_jpg.rf.d2e626b840f565ee5155043a281370e7,1-110-_jpg.rf.d2e626b840f565ee5155043a281370e7.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1-110-_jpg.rf.d2e626b840f565ee5155043a281370e7.jpg
train__1-175-_jpg.jpg,train__1-175-_jpg.txt,train,1-175-_jpg.rf.a3295afedfd664e80ab39f3190b2c71f,1-175-_jpg.rf.a3295afedfd664e80ab39f3190b2c71f.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1-175-_jpg.rf.a3295afedfd664e80ab39f3190b2c71f.jpg
train__1-8-t_jpg.jpg,train__1-8-t_jpg.txt,train,1-8-t_jpg.rf.7c458ce10b1f9b3dcfd79d274a55a24a,1-8-t_jpg.rf.7c458ce10b1f9b3dcfd79d274a55a24a.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1-8-t_jpg.rf.7c458ce10b1f9b3dcfd79d274a55a24a.jpg
